GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Utils,org.owasp.dependencycheck.utils.search,FileContentSearch,0,74,0,6,0,10,0,6,0,3
Dependency-Check Utils,org.owasp.dependencycheck.utils,FileUtils,93,70,14,8,23,18,13,6,3,5
Dependency-Check Utils,org.owasp.dependencycheck.utils,HttpResourceConnection,493,173,39,19,95,50,28,13,1,11
Dependency-Check Utils,org.owasp.dependencycheck.utils,Settings,447,432,57,41,101,102,55,38,14,30
Dependency-Check Utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,117,6,6,40,31,15,7,11,5
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,0,32,0,2,0,7,0,3,0,2
Dependency-Check Utils,org.owasp.dependencycheck.utils,InvalidSettingException,12,4,0,0,6,2,3,1,3,1
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},52,0,6,0,7,0,5,0,2,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,URLConnectionFactory,213,97,41,7,49,29,23,8,1,6
Dependency-Check Utils,org.owasp.dependencycheck.utils,ResourceNotFoundException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Downloader,85,51,3,1,19,16,3,4,1,4
Dependency-Check Utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,TooManyRequestsException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,XmlUtils,209,0,19,0,50,0,15,0,5,0
Dependency-Check Utils,org.owasp.dependencycheck.utils,Checksum,42,154,2,6,11,35,4,12,2,10
